Word,Count
mech.Combat.MapMetaData.biomeDesignMask.heatSinkMultiplier;,1
don't,1
\Log.LogWrite("\additional\,1
component.Stop(true);,1
[HarmonyPatch(typeof(Vehicle))],1
and,1
values:,1
Vehicle_InitStats,1
(mech.Combat.MapMetaData.biomeDesignMask,1
typelib,1
obj.name,1
if(chance,1
assetBundle.name,1
1f;,1
with,1
AdditinalFXObjects,1
true;,1
private,1
ObjectSpawnDataSelf,1
attributes,1
(activatable,1
(File.Exists(path)),1
activatable.FailFlatChance);,1
if(activatable.ActiveByDefault,1
by,1
(component.IsFunctional,1
\found:"\\,1
\"\:"\\,1
\!Mathf.Approximately(mech.Combat.MapMetaData.biomeDesignMask.heatSinkMultiplier,\,1
\loaded\n"\);\,1
components,1
AssetBundle.LoadFromFile(path);,1
do,1
locations,1
failChance,1
(UnityEngine.Object)null),1
Information,1
\this.Combat.DataManager.PoolGameObject(this.prefabName,\,1
\Path.Combine(apath,\,1
\exists:"\\,1
sertanly,1
tot,1
((UnityEngine.Object)component,1
\Log.LogWrite("\not\,1
all,1
objects,1
\Log.LogWrite("\fail\,1
exposed,1
or,1
\Log.LogWrite("\FX\,1
GUID,1
this.spawnedObject.SetActive(false);,1
(activatable.FailDamageLocations.Length,1
here,1
(assetBundle,1
these,1
mechlab.MechLab.activeMechDef,1
List<ActivatableComponent>,1
a,1
Log.m_assemblyFile,1
assetBundle.LoadAllAssets<GameObject>();,1
if(activatable.CanBeactivatedManualy),1
foreach(MechComponent,1
unit.allComponents),1
about,1
(mech.Combat.Constants.Heat.GlobalHeatSinkMultiplier),1
Change,1
this.spawnedObject);,1
from,1
obj,1
\"\+component.defId+"\\,1
ID,1
\objects:\n"\);\,1
(string,1
mech.HeatSinkCapacity,1
below:,1
\stringBuilder.Append("\Global\,1
\"\assets"\);\,1
Setting,1
[assembly:,1
